title,body,labels,assignees,milestone,project_status,priority,workstream,,,,,,,,
[W6][P1][#4] Validate that segments reveal patterns not visible in isolation,"## Objective
Complete **Validate that segments reveal patterns not visible in isolation** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Quality
- Priority: High
- Owner: Andre

## Tasks
- [ ] Run the required validation or audit.
- [ ] Document findings and any corrective actions.
- [ ] Confirm that outputs meet acceptance criteria.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Quality,P1-High",,W6 - AO3 Integration,Backlog,P1 - High,Quality,4,,,,,,,
[W6][P3][#5] Optional clustering: K-means extension,"## Objective
Complete **Optional clustering: K-means extension** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Modeling
- Priority: Medium
- Owner: Luciana

## Tasks
- [ ] Build and run the model or modeling component.
- [ ] Record metrics, settings, and output artifacts.
- [ ] Save the model/output for downstream use.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Modeling,P3-Low",,W6 - AO3 Integration,Backlog,P3 - Low,Modeling,5,,,,,,,
[W6][P1][#6] Define operational recommendations by segment,"## Objective
Complete **Define operational recommendations by segment** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Analysis
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Translate analytical outputs into business interpretation.
- [ ] Tie recommendations to model/EDA evidence.
- [ ] Draft the relevant report subsection.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Analysis,P1-High",,W6 - AO3 Integration,Backlog,P1 - High,Analysis,6,,,,,,,
[W6][P1][#7] Document AO3 methodology and results,"## Objective
Complete **Document AO3 methodology and results** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W6-AO3-Integration
- Workstream: Documentation
- Priority: Medium
- Owner: Tiago

## Tasks
- [ ] Create or update the required documentation artifact.
- [ ] Ensure terminology, formulas, and assumptions are clear.
- [ ] Commit the document and link it to relevant issues.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W6-AO3Integration,Documentation,P1-High",,W6 - AO3 Integration,Backlog,P1 - High,Documentation,7,,,,,,,
[W7][P0][#1] Power BI: connect to Delta Lake Gold tables,"## Objective
Complete **Power BI: connect to Delta Lake Gold tables** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Dashboard
- Priority: High
- Owner: Andre

## Tasks
- [ ] Build or validate the assigned dashboard page/component.
- [ ] Check filters, KPIs, visuals, and data consistency.
- [ ] Export or screenshot final visuals for the report.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Dashboard,P0-Critical",,W7 - Dashboard,Backlog,P0 - Critical,Dashboard,1,,,,,,,
[W7][P0][#2] Power BI: delivery risk page (AO1),"## Objective
Complete **Power BI: delivery risk page (AO1)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Dashboard
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Build or validate the assigned dashboard page/component.
- [ ] Check filters, KPIs, visuals, and data consistency.
- [ ] Export or screenshot final visuals for the report.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Dashboard,P0-Critical",,W7 - Dashboard,Backlog,P0 - Critical,Dashboard,2,,,,,,,
[W7][P0][#3] Power BI: profitability page (AO2),"## Objective
Complete **Power BI: profitability page (AO2)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Dashboard
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Build or validate the assigned dashboard page/component.
- [ ] Check filters, KPIs, visuals, and data consistency.
- [ ] Export or screenshot final visuals for the report.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Dashboard,P0-Critical",,W7 - Dashboard,Backlog,P0 - Critical,Dashboard,3,,,,,,,
[W7][P0][#4] Power BI: risk-margin segmentation page (AO3),"## Objective
Complete **Power BI: risk-margin segmentation page (AO3)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Dashboard
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Build or validate the assigned dashboard page/component.
- [ ] Check filters, KPIs, visuals, and data consistency.
- [ ] Export or screenshot final visuals for the report.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Dashboard,P0-Critical",,W7 - Dashboard,Backlog,P0 - Critical,Dashboard,4,,,,,,,
[W7][P2][#5] Power BI: geographic page (global map),"## Objective
Complete **Power BI: geographic page (global map)** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Dashboard
- Priority: Medium
- Owner: Andre

## Tasks
- [ ] Build or validate the assigned dashboard page/component.
- [ ] Check filters, KPIs, visuals, and data consistency.
- [ ] Export or screenshot final visuals for the report.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Dashboard,P2-Medium",,W7 - Dashboard,Backlog,P2 - Medium,Dashboard,5,,,,,,,
"[W7][P1][#6] Write report: Abstract, Introduction, Problem, and Solution","## Objective
Complete **Write report: Abstract, Introduction, Problem, and Solution** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Writing
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Draft or revise the assigned report section.
- [ ] Ensure APA-aligned captions, citations, and consistency.
- [ ] Submit the section for internal review.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Writing,P1-High",,W7 - Dashboard,Backlog,P1 - High,Writing,6,,,,,,,
[W7][P1][#7] Write report: Methodology and Results,"## Objective
Complete **Write report: Methodology and Results** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Writing
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Draft or revise the assigned report section.
- [ ] Ensure APA-aligned captions, citations, and consistency.
- [ ] Submit the section for internal review.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Writing,P1-High",,W7 - Dashboard,Backlog,P1 - High,Writing,7,,,,,,,
"[W7][P1][#8] Write report: Discussion, Recommendations, and Conclusion","## Objective
Complete **Write report: Discussion, Recommendations, and Conclusion** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Writing
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Draft or revise the assigned report section.
- [ ] Ensure APA-aligned captions, citations, and consistency.
- [ ] Submit the section for internal review.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Writing,P1-High",,W7 - Dashboard,Backlog,P1 - High,Writing,8,,,,,,,
[W7][P2][#9] Conduct internal group review of the report,"## Objective
Complete **Conduct internal group review of the report** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W7-Dashboard
- Workstream: Quality
- Priority: Medium
- Owner: Andre

## Tasks
- [ ] Run the required validation or audit.
- [ ] Document findings and any corrective actions.
- [ ] Confirm that outputs meet acceptance criteria.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W7-Dashboard,Quality,P2-Medium",,W7 - Dashboard,Backlog,P2 - Medium,Quality,9,,,,,,,
"[W8][P0][#1] QA: reproducibility, run pipeline from scratch","## Objective
Complete **QA: reproducibility, run pipeline from scratch** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: QA
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Run final validation, reproducibility, or submission checks.
- [ ] Document issues found and fixes applied.
- [ ] Confirm final package readiness.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,QA,P0-Critical",,W8 - QA & Final Delivery,Backlog,P0 - Critical,QA,1,,,,,,,
[W8][P0][#2] QA: final leakage audit,"## Objective
Complete **QA: final leakage audit** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: QA
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Run final validation, reproducibility, or submission checks.
- [ ] Document issues found and fixes applied.
- [ ] Confirm final package readiness.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,QA,P0-Critical",,W8 - QA & Final Delivery,Backlog,P0 - Critical,QA,2,,,,,,,
[W8][P0][#3] QA: validate metrics on the final test set,"## Objective
Complete **QA: validate metrics on the final test set** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: QA
- Priority: High
- Owner: Tiago

## Tasks
- [ ] Run final validation, reproducibility, or submission checks.
- [ ] Document issues found and fixes applied.
- [ ] Confirm final package readiness.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,QA,P0-Critical",,W8 - QA & Final Delivery,Backlog,P0 - Critical,QA,3,,,,,,,
[W8][P2][#4] QA: final Power BI dashboard review,"## Objective
Complete **QA: final Power BI dashboard review** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: QA
- Priority: High
- Owner: Andre

## Tasks
- [ ] Run final validation, reproducibility, or submission checks.
- [ ] Document issues found and fixes applied.
- [ ] Confirm final package readiness.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,QA,P2-Medium",,W8 - QA & Final Delivery,Backlog,P2 - Medium,QA,4,,,,,,,
[W8][P1][#5] Finalize and format the written report,"## Objective
Complete **Finalize and format the written report** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: Writing
- Priority: High
- Owner: Luciana

## Tasks
- [ ] Draft or revise the assigned report section.
- [ ] Ensure APA-aligned captions, citations, and consistency.
- [ ] Submit the section for internal review.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,Writing,P1-High",,W8 - QA & Final Delivery,Backlog,P1 - High,Writing,5,,,,,,,
[W8][P1][#6] Prepare presentation slides,"## Objective
Complete **Prepare presentation slides** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: Presentation
- Priority: High
- Owner: Bruno

## Tasks
- [ ] Prepare or rehearse the assigned presentation component.
- [ ] Check timing, slide flow, and Q&A readiness.
- [ ] Export final presentation files.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,Presentation,P1-High",,W8 - QA & Final Delivery,Backlog,P1 - High,Presentation,6,,,,,,,
[W8][P2][#7] Presentation rehearsal and final submission,"## Objective
Complete **Presentation rehearsal and final submission** as part of the DataCo Capstone execution plan.

## Context
- Milestone: W8-QA-Final
- Workstream: Presentation
- Priority: Medium
- Owner: Tiago

## Tasks
- [ ] Prepare or rehearse the assigned presentation component.
- [ ] Check timing, slide flow, and Q&A readiness.
- [ ] Export final presentation files.

## Acceptance Criteria
- The required output is completed and committed to the repository or shared project workspace.
- The output is reviewed by at least one other team member.
- Any assumptions, decisions, or limitations are documented.
- The issue can be moved to Done without unresolved blockers.","W8-QA-FinalDelivery,Presentation,P2-Medium",,W8 - QA & Final Delivery,Backlog,P2 - Medium,Presentation,7,,,,,,,
