variable_name,analysis_column,variable_origin,variable_type,ao1_policy,screening_status,decision_time_valid,eda_summary,notable_pattern,late_delivery_rate_difference,sample_size_caveat,leakage_review_result,modeling_recommendation,requires_group_validation,recommended_action,source_rationale,required_action_from_screening
order_week_of_year,order_week_of_year,order_time_engineered,numeric,allowed,deferred_to_gold,yes,Numeric: late class median 25.000; on-time class median 25.000; missing rate 0.00%.,"Highest supported bin (30.0, 40.0] had late rate 55.25%; lowest bin (10.0, 20.0] had 54.24%.",0.01,Minimum support 903; missing rate 0.00%.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_day_of_month,order_day_of_month,order_time_engineered,numeric,allowed,deferred_to_gold,yes,Numeric: late class median 16.000; on-time class median 16.000; missing rate 0.00%.,"Highest supported bin (0.999, 7.0] had late rate 55.40%; lowest bin (13.0, 19.0] had 54.38%.",0.0102,Minimum support 903; missing rate 0.00%.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_day_of_week,order_day_of_week,order_time_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 7 groups; 7 met support. Strongest supported group '3' had late rate 54.30% (-0.53 pp vs overall).,Highest supported rate: '6' 55.17%; lowest: '3' 54.30%.,-0.0053,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_hour,order_hour,order_time_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 24 groups; 24 met support. Strongest supported group '12' had late rate 59.50% (+4.67 pp vs overall).,Highest supported rate: '12' 59.50%; lowest: '8' 50.87%.,0.0467,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_is_weekend,order_is_weekend,order_time_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 2 groups; 2 met support. Strongest supported group '1' had late rate 54.76% (-0.07 pp vs overall).,Highest supported rate: '0' 54.86%; lowest: '1' 54.76%.,-0.0007,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
order_season,order_season,order_time_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group 'spring' had late rate 54.76% (-0.07 pp vs overall).,Highest supported rate: 'summer' 54.89%; lowest: 'spring' 54.76%.,-0.0007,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Deterministic calendar feature derived only from order_date_DateOrders, which is known at order creation.",Confirm final inclusion in Gold feature lists; fit any downstream model preprocessing on training data only.
_order_time_features_processed_timestamp,,order_time_engineered,unavailable,not_applicable,excluded,not_applicable,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Processing metadata or non-business field; not a modeling predictor.,descriptive_context_only,False,Use only as descriptive context unless policy changes.,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.
scheduled_shipping_days,scheduled_shipping_days,shipping_product_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group '1' had late rate 95.32% (+40.49 pp vs overall).,Highest supported rate: '1' 95.32%; lowest: '4' 38.07%.,0.4049,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
shipping_speed_tier,shipping_speed_tier,shipping_product_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 3 groups; 3 met support. Strongest supported group 'expedited' had late rate 82.47% (+27.64 pp vs overall).,Highest supported rate: 'expedited' 82.47%; lowest: 'economy' 38.07%.,0.2764,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
shipping_mode_normalized,shipping_mode_normalized,shipping_product_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 4 groups; 4 met support. Strongest supported group 'first_class' had late rate 95.32% (+40.49 pp vs overall).,Highest supported rate: 'first_class' 95.32%; lowest: 'standard_class' 38.07%.,0.4049,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
is_same_day_or_next_day_shipping,is_same_day_or_next_day_shipping,shipping_product_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 2 groups; 2 met support. Strongest supported group '1' had late rate 82.47% (+27.64 pp vs overall).,Highest supported rate: '1' 82.47%; lowest: '0' 47.57%.,0.2764,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
is_standard_shipping,is_standard_shipping,shipping_product_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 2 groups; 2 met support. Strongest supported group '0' had late rate 79.64% (+24.81 pp vs overall).,Highest supported rate: '0' 79.64%; lowest: '1' 38.07%.,0.2481,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
product_category_key,product_category_key,shipping_product_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 51 groups; 16 met support. Strongest supported group '40_accessories' had late rate 56.97% (+2.14 pp vs overall).,Highest supported rate: '40_accessories' 56.97%; lowest: '18_mens_footwear' 54.49%.,0.0214,Minimum support 903; 35 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
product_department_key,product_department_key,shipping_product_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 11 groups; 8 met support. Strongest supported group '2_fitness' had late rate 55.55% (+0.72 pp vs overall).,Highest supported rate: '2_fitness' 55.55%; lowest: '9_discs_shop' 54.44%.,0.0072,Minimum support 903; 3 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
product_catalog_key,product_catalog_key,shipping_product_engineered,categorical,conditional,needs_group_review,requires_group_review,Direct bivariate ranking skipped for this review-sensitive field.,Identifier/key field; do not interpret direct category or numeric bins as AO1 signal.,,Requires approved grouping or train-only aggregate design before modeling.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product catalog composition key may be high-cardinality and should not be blindly encoded.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use."
product_name_normalized,product_name_normalized,shipping_product_engineered,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 118 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Normalized product name may be high-cardinality and unstable across catalog changes.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use."
product_status_flag,product_status_flag,shipping_product_engineered,binary,conditional,needs_group_review,requires_group_review,Categorical: 1 groups; 1 met support. Strongest supported group '0' had late rate 54.83% (+0.00 pp vs overall).,Highest supported rate: '0' 54.83%; lowest: '0' 54.83%.,0.0,Minimum support 903; 0 groups below threshold.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product status source semantics require group confirmation before predictive use.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use."
product_list_price,product_list_price,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 59.990; on-time class median 65.000; missing rate 0.00%.,"Highest supported bin (9.989, 49.98] had late rate 55.15%; lowest bin (59.99, 129.99] had 54.45%.",0.007,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Product list price is order-time commercial information but may duplicate item_unit_price source fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
order_item_quantity,order_item_quantity,shipping_product_engineered,categorical,allowed,needs_group_review,requires_group_review,Categorical: 5 groups; 5 met support. Strongest supported group '2' had late rate 54.34% (-0.49 pp vs overall).,Highest supported rate: '3' 55.12%; lowest: '2' 54.34%.,-0.0049,Minimum support 903; 0 groups below threshold.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,"This engineered quantity is decision-time valid, but it is reviewed with the AO2 commercial feature family to avoid an uncontrolled financial/order-composition predictor set.","Document whether AO2 uses this quantity alone, with selected price/discount fields, or excludes it from the main profitability model."
item_unit_price,item_unit_price,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 59.990; on-time class median 65.000; missing rate 0.00%.,"Highest supported bin (9.989, 49.98] had late rate 55.15%; lowest bin (59.99, 129.99] had 54.45%.",0.007,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Item unit price is order-time commercial information but may duplicate product_list_price source fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_discount_amount,item_discount_amount,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 14.000; on-time class median 14.040; missing rate 0.00%.,"Highest supported bin (-0.001, 4.0] had late rate 55.14%; lowest bin (19.5, 34.0] had 54.46%.",0.0068,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Discount amount is expected at order time but requires AO2 target-reconstruction and redundancy review.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_discount_rate,item_discount_rate,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 0.090; on-time class median 0.100; missing rate 0.00%.,"Highest supported bin (0.17, 0.25] had late rate 55.26%; lowest bin (0.12, 0.17] had 54.55%.",0.007,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Discount rate is expected at order time but requires AO2 target-reconstruction and redundancy review.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_gross_sales_estimate,item_gross_sales_estimate,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 199.920; on-time class median 199.920; missing rate 0.00%.,"Highest supported bin (9.989, 100.0] had late rate 55.25%; lowest bin (199.99, 299.98] had 54.60%.",0.0064,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Gross value estimate is derived from price and quantity and may duplicate Sales-like value fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_net_sales_amount,item_net_sales_amount,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 163.990; on-time class median 163.990; missing rate 0.00%.,"Highest supported bin (7.489, 94.5] had late rate 55.08%; lowest bin (128.69, 188.99] had 54.64%.",0.0044,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Net sales amount comes from Order Item Total and is recommended as AO3 denominator but must be reviewed for AO2 use.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_discount_share_of_gross,item_discount_share_of_gross,shipping_product_engineered,numeric,allowed,needs_group_review,requires_group_review,Numeric: late class median 0.090; on-time class median 0.100; missing rate 0.00%.,"Highest supported bin (0.03, 0.07] had late rate 55.15%; lowest bin (0.07, 0.12] had 54.46%.",0.0069,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Discount share is derived from order value components and should be reviewed before AO2 modeling.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
_shipping_product_features_processed_timestamp,,shipping_product_engineered,unavailable,not_applicable,excluded,not_applicable,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Processing metadata or non-business field; not a modeling predictor.,descriptive_context_only,False,Use only as descriptive context unless policy changes.,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.
customer_segment_normalized,customer_segment_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 3 groups; 3 met support. Strongest supported group 'home_office' had late rate 55.07% (+0.24 pp vs overall).,Highest supported rate: 'home_office' 55.07%; lowest: 'corporate' 54.72%.,0.0024,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_country_normalized,customer_country_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 2 groups; 2 met support. Strongest supported group 'puerto_rico' had late rate 54.76% (-0.07 pp vs overall).,Highest supported rate: 'ee_uu' 54.87%; lowest: 'puerto_rico' 54.76%.,-0.0007,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_state_normalized,customer_state_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 46 groups; 27 met support. Strongest supported group 'nm' had late rate 60.27% (+5.44 pp vs overall).,Highest supported rate: 'nm' 60.27%; lowest: 'co' 50.68%.,0.0544,Minimum support 903; 19 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_zipcode_available,customer_zipcode_available,customer_regional_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 2 groups; 1 met support. Strongest supported group '1' had late rate 54.83% (+0.00 pp vs overall).,Highest supported rate: '1' 54.83%; lowest: '1' 54.83%.,0.0,Minimum support 903; 1 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
market_normalized,market_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 5 groups; 5 met support. Strongest supported group 'latam' had late rate 54.36% (-0.47 pp vs overall).,Highest supported rate: 'europe' 55.21%; lowest: 'latam' 54.36%.,-0.0047,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_country_normalized,order_country_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Skipped direct category ranking: 164 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_region_normalized,order_region_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Categorical: 23 groups; 22 met support. Strongest supported group 'canada' had late rate 48.80% (-6.03 pp vs overall).,Highest supported rate: 'central_africa' 57.96%; lowest: 'canada' 48.80%.,-0.0603,Minimum support 903; 1 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_state_normalized,order_state_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,Skipped direct category ranking: 1089 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_zipcode_available,order_zipcode_available,customer_regional_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 2 groups; 2 met support. Strongest supported group '1' had late rate 55.03% (+0.20 pp vs overall).,Highest supported rate: '1' 55.03%; lowest: '0' 54.80%.,0.002,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_order_country_match,customer_order_country_match,customer_regional_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 1 groups; 1 met support. Strongest supported group '0' had late rate 54.83% (+0.00 pp vs overall).,Highest supported rate: '0' 54.83%; lowest: '0' 54.83%.,0.0,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_order_state_match,customer_order_state_match,customer_regional_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 1 groups; 1 met support. Strongest supported group '0' had late rate 54.83% (+0.00 pp vs overall).,Highest supported rate: '0' 54.83%; lowest: '0' 54.83%.,0.0,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
geo_coordinates_available,geo_coordinates_available,customer_regional_engineered,binary,allowed,deferred_to_gold,yes,Categorical: 1 groups; 1 met support. Strongest supported group '1' had late rate 54.83% (+0.00 pp vs overall).,Highest supported rate: '1' 54.83%; lowest: '1' 54.83%.,0.0,Minimum support 903; 0 groups below threshold.,AO1 allowed by conceptual screening; still subject to Gold/modeling review.,candidate_for_gold_review,False,Keep as an AO1 candidate for Gold feature review; do not treat EDA as causal.,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_city_normalized,customer_city_normalized,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 563 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Customer city may be high-cardinality and unstable for direct modeling.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
order_city_normalized,order_city_normalized,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 3596 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Destination city may be high-cardinality and unstable for direct modeling.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
customer_region_key,customer_region_key,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 593 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Customer region key combines multiple location levels and may be high-cardinality.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
order_region_key,order_region_key,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,Skipped direct category ranking: 3772 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Destination region key combines multiple location levels and may be high-cardinality.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
latitude_rounded,latitude_rounded,customer_regional_engineered,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median 33.180; on-time class median 33.130; missing rate 0.00%.,"Highest supported bin (34.11, 40.21] had late rate 55.23%; lowest bin (-33.940999999999995, 18.25] had 54.57%.",0.0066,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Rounded latitude reduces precision but still needs review for geographic granularity and stability.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
longitude_rounded,longitude_rounded,customer_regional_engineered,numeric,conditional,needs_group_review,requires_group_review,Numeric: late class median -76.930; on-time class median -76.710; missing rate 0.00%.,"Highest supported bin (-158.031, -112.12] had late rate 55.25%; lowest bin (-66.37, 115.26] had 53.66%.",0.0158,Minimum support 903; missing rate 0.00%.,Decision-time plausible but not approved for AO1 modeling without group validation.,conditional_requires_group_review,True,Keep in the group-validation list; do not approve for AO1 modeling yet.,Rounded longitude reduces precision but still needs review for geographic granularity and stability.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
_customer_regional_features_processed_timestamp,,customer_regional_engineered,unavailable,not_applicable,excluded,not_applicable,Not analyzed as an AO1 candidate under the current leakage policy.,Excluded from candidate modeling review.,,Not applicable.,Processing metadata or non-business field; not a modeling predictor.,descriptive_context_only,False,Use only as descriptive context unless policy changes.,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.
